question,axis,expect_refusal,ran,stopped_because,clusters,settings,labels_scored,mean_f1,best_f1,best_label,genes_named,genes_corroborated,note,seconds
"Which unplaced proteins sit in clusters that are almost entirely one hyperLOPIT compartment, judged only from how much protein there is, how it is modified and how badly it is needed?",localisation and export,False,True,,62,"{""n_neighbors"": 30, ""min_dist"": 0.0, ""min_cluster_size"": 40, ""min_samples"": 5}",10,0.20084733767647286,0.3582089552238806,proteasome,485,316,,92.2
Which uncharacterised proteins behave like the exported dense-granule proteins that BioID puts at the PV membrane?,localisation and export,True,False,the validation holdout 'compartment_best' is not independent of the primary 'pvm_proximity_positive' -- measured association. A control that is a copy controls nothing,0,{},0,,,,0,0,,0.4
"Which unannotated genes sit with the GRA17 synthetic-lethal set, i.e. which genes are functionally coupled to the PVM nutrient pore?",localisation and export,False,True,,71,"{""n_neighbors"": 30, ""min_dist"": 0.0, ""min_cluster_size"": 40, ""min_samples"": 10}",2,0.08689974089499956,0.08720487433358719,0.0,0,0,no cluster reached 2.0x enrichment at 0.30 purity; the best scoreable cluster was 1.0x at 1.00 purity (0.0),153.5
"Which uncharacterised proteins are loaded into the oocyst, and are they the genes the sexual stages switch on?",life-cycle stage and conversion,False,True,,40,"{""n_neighbors"": 15, ""min_dist"": 0.0, ""min_cluster_size"": 60, ""min_samples"": 5}",3,0.20058268597862683,0.23491027732463293,"(0.0009999999999999992, 0.94]",69,69,,79.1
Which genes are needed to persist in the mouse brain at 14 days but are dispensable for growth in culture?,life-cycle stage and conversion,False,True,,114,"{""n_neighbors"": 5, ""min_dist"": 0.0, ""min_cluster_size"": 25, ""min_samples"": 5}",3,0.07346940924575542,0.08897485493230176,"(0.53, 12.19]",181,1,,101.5
"Which transcripts does the BFD2 switch hold, and are they the bradyzoite programme?",life-cycle stage and conversion,False,True,,88,"{""n_neighbors"": 15, ""min_dist"": 0.0, ""min_cluster_size"": 40, ""min_samples"": 5}",3,0.05819519466116349,0.06454816285998013,"(-0.74, 0.15]",0,0,"no cluster reached 2.0x enrichment at 0.30 purity; the best scoreable cluster was 1.9x at 0.65 purity ((0.15, 4.97])",107.1
"Which uncharacterised proteins sit inside clusters that are almost entirely one enzyme class, and therefore come with a pathway to test?",relationships between genes,False,True,,21,"{""n_neighbors"": 60, ""min_dist"": 0.1, ""min_cluster_size"": 93, ""min_samples"": 5}",2,0.16722585924713584,0.2127659574468085,3.1.3.16 (Protein-serine/threonine phosphatase),0,0,no cluster reached 2.0x enrichment at 0.30 purity; the best scoreable cluster was 72.9x at 0.06 purity (3.4.13.20 (Beta-Ala-His dipeptidase)),134.2
"Do the expanded Toxoplasma paralogue families actually behave as one unit, and which unassigned genes belong with them?",relationships between genes,False,True,,86,"{""n_neighbors"": 30, ""min_dist"": 0.0, ""min_cluster_size"": 25, ""min_samples"": 10}",1,0.19444444444444445,0.19444444444444445,OG6_106689,0,0,no cluster reached 2.0x enrichment at 0.30 purity; the best scoreable cluster was 325.6x at 0.04 purity (OG6_491911),122.9
"Which Toxoplasma-specific genes behave like conserved core machinery, and are those the ones the parasite cannot lose?",relationships between genes,False,True,,114,"{""n_neighbors"": 5, ""min_dist"": 0.0, ""min_cluster_size"": 25, ""min_samples"": 5}",2,0.06624085147625408,0.0685763888888889,0,0,0,no cluster reached 2.0x enrichment at 0.30 purity; the best scoreable cluster was 2.5x at 1.00 purity (0),112.5
Do the proteins whose phosphorylation goes up together form one signalling module - one that also shows up as calcium-responsive in thermal stability?,relationships between genes,False,True,,21,"{""n_neighbors"": 5, ""min_dist"": 0.1, ""min_cluster_size"": 104, ""min_samples"": 10}",3,0.2319005280430708,0.27450980392156865,"(1.5, 1.81]",0,0,"no cluster reached 2.0x enrichment at 0.30 purity; the best scoreable cluster was 1.5x at 0.50 purity ((1.81, 2.22])",82.7
