question,axis,declared,shipped,expect_refusal,holdout,holdout_labelled,control,closure_ok,blocks,columns,removed_from_inputs,refusal,reason
"Which unplaced proteins sit in clusters that are almost entirely one hyperLOPIT compartment, judged only from how much protein there is, how it is modified and how badly it is needed?",localisation and export,keep,True,False,compartment_best,3855,ec_number,True,37,71,4,,"Sequence inputs and every LOPIT view are excluded, so the compartment can only be recovered from behaviour; EC class is an annotation from a different source, so it is an independent check with 11 classes over 1313 genes."
Which uncharacterised proteins behave like the exported dense-granule proteins that BioID puts at the PV membrane?,localisation and export,drop,False,True,pvm_proximity_positive,1274,compartment_best,False,0,0,0,the validation holdout 'compartment_best' is not independent of the primary 'pvm_proximity_positive' -- measured association. A control that is a copy controls nothing,refused by leakage closure: the validation holdout 'compartment_best' is not independent of the primary 'pvm_proximity_positive' -- measured association. A control that is a copy controls nothing
"Which unannotated genes sit with the GRA17 synthetic-lethal set, i.e. which genes are functionally coupled to the PVM nutrient pore?",localisation and export,keep,True,False,crispr_gra17_candidate,7553,pvm_proximity_positive,True,21,81,1,,"The holdout is a genetic screen, so localisation is admissible as an input here; fitness inputs are excluded because the gra17 delta and phenotype columns are that same screen, and the BioID control is a third experiment."
Which proteins are tethered to membranes by palmitoylation rather than by a transmembrane segment?,localisation and export,uncertain,False,False,palmitome_odya_vs_palmitate_log2,488,compartment_best,True,26,54,0,,"PTM inputs have to be dropped because the sibling palmitome column lives there and sequence is barred, which leaves thin inputs; and 488 labelled genes is only about twice the iedb count that was measured too sparse to fill a cluster."
"Which proteins resist a single steady-state compartment because they are genuinely dual-localised or in transit, rather than merely scarce?",localisation and export,uncertain,False,False,lopit_confident,8140,pvm_proximity_positive,True,41,75,0,,"Assignment confidence tracks how much protein there is, and protein abundance is an input, so the map may recover the label technically rather than biologically; I cannot judge the size of that confound from the two CSVs."
"Can protein behaviour recover the MAP compartment assignment, using the MCMC assignment as the check?",localisation and export,drop,False,False,lopit_map,3827,lopit_mcmc,False,0,0,0,the validation holdout 'lopit_mcmc' is not independent of the primary 'lopit_map' -- measured association. A control that is a copy controls nothing,"Six-views trap: compartment, compartment_best, lopit_unified, lopit_map, lopit_mcmc and ortholopit_label are one experiment, so MAP validated by MCMC is a copy, not a control (criterion 4)."
"Can signal peptides, transmembrane segments and domain content place a protein in its compartment?",localisation and export,drop,False,False,compartment_best,3855,pvm_proximity_positive,False,0,0,0,the validation holdout 'pvm_proximity_positive' is not independent of the primary 'compartment_best' -- measured association. A control that is a copy controls nothing,"Sequence-derived features predict localisation directly, so the map recovers the label by predicting it rather than by finding biology (measured trap, criterion 3)."
Which proteins carry a signal peptide?,localisation and export,drop,False,False,has_signal_peptide,8140,is_tm,False,0,0,0,the validation holdout 'is_tm' is not independent of the primary 'has_signal_peptide' -- shared experiment (plasmodb_pf3d7_attributes). A control that is a copy controls nothing,"Fails criterion 5: the label is already computable from sequence for all 8140 genes so nobody changes an experiment on the answer, and is_tm comes out of the same prediction pipeline, so it is not an independent control either."
Which effectors leave the parasite as soluble protein rather than packaged in vesicles?,localisation and export,drop,False,False,secretome_soluble_over_vesicle_log2,165,pvm_proximity_positive,True,16,66,0,,"Only 165 genes carry the label; iedb_epitope_count at 221 was measured too sparse to put 15 labelled genes in any cluster, so this holdout cannot be evaluated at cluster level at all."
Which proteins are N-myristoylated and therefore anchored at the parasite periphery?,localisation and export,drop,False,False,myristoylation_confidence,65,compartment_best,True,25,52,0,,"65 labelled genes with a minority class of 23 - an order of magnitude below what cluster-level evaluation needs, by the same sparsity limit measured on the epitope columns (criterion 2 in practice)."
Which PVM proteins face the host cytosol rather than the vacuolar lumen?,localisation and export,drop,False,False,pvm_proximity_positive,1274,compartment_best,False,0,0,0,the validation holdout 'compartment_best' is not independent of the primary 'pvm_proximity_positive' -- measured association. A control that is a copy controls nothing,"Criterion 6: the only PVM column is a proximity yes/no and it carries no membrane-orientation information, so the question as asked has no label in the table - the recipe would silently answer a different question."
Which proteins were localised by hyperLOPIT directly rather than by orthoLOPIT transfer?,localisation and export,drop,False,False,compartment_source,3855,lopit_confident,False,0,0,0,the validation holdout 'lopit_confident' is not independent of the primary 'compartment_source' -- shared experiment (lopit_tgon). A control that is a copy controls nothing,"This is provenance metadata - it records which pipeline made the call, so recovering it changes nobody's next experiment (criterion 5), and lopit_confident is the same experiment so the control is a copy too."
"Which uncharacterised proteins are loaded into the oocyst, and are they the genes the sexual stages switch on?",life-cycle stage and conversion,keep,True,False,oocyst_itraq_115_113,2068,sexual_stage_8dpi_log2fc,True,26,31,0,,"Protein-abundance inputs are excluded because the oocyst iTRAQ ratios live there; the control is a cat-gut RNA experiment, entirely independent of the oocyst proteome measurement, and both holdouts are dense (2068 and 4463 genes)."
Which genes are needed to persist in the mouse brain at 14 days but are dispensable for growth in culture?,life-cycle stage and conversion,keep,True,False,brain168465_14d_lfc,7334,fit_ifng,True,31,168,10,,"Fitness inputs are excluded so neither screen leaks into the map; the IFN-gamma macrophage screen is a separate study from the in vivo brain screen, so it is a genuine second observation of chronic-stage pressure."
"Which transcripts does the BFD2 switch hold, and are they the bradyzoite programme?",life-cycle stage and conversion,keep,True,False,bfd2_rip_log2_ip_over_input,7463,stage_enriched_derived,True,20,27,1,,"RNA-abundance inputs are excluded so neither the RIP ratio nor the expression-derived stage call is fed in; stage_enriched_derived is exactly the trivially-recovering control the brief describes, used here as a control and not as a discovery."
"Can protein abundance, phosphorylation and fitness alone say which cell-cycle phase a gene belongs to - i.e. is the cycle visible without any RNA?",life-cycle stage and conversion,drop,False,False,cellcycle_phase,873,cellcycle19092_7h_r1,False,0,0,0,the validation holdout 'cellcycle19092_7h_r1' is not independent of the primary 'cellcycle_phase' -- declared family (Tg_transcription_per_cell_cycle_phase). A control that is a copy controls nothing,refused by leakage closure: the validation holdout 'cellcycle19092_7h_r1' is not independent of the primary 'cellcycle_phase' -- declared family (Tg_transcription_per_cell_cycle_phase). A control that is a copy controls nothing
Which mRNAs are held translationally silent as tachyzoites begin converting?,life-cycle stage and conversion,uncertain,False,False,te245775_parent_prebrady_r2,7880,n_m6a_peaks,True,39,51,0,,"The holdout is a single replicate whose RNA denominator sits in the excluded expression family, and I cannot tell from the CSVs whether translation-efficiency columns are addressed apart from RNA abundance; n_m6a_peaks at 837 genes and only 2 usable bins is borderline as a control."
"Which genes are tachyzoite-, bradyzoite- or oocyst-enriched?",life-cycle stage and conversion,drop,False,False,stage_enriched_derived,1911,expr_cyst,False,0,0,0,the validation holdout 'expr_cyst' is not independent of the primary 'stage_enriched_derived' -- declared family (Tg_transcription_bradyzoite_tissue_cyst). A control that is a copy controls nothing,"stage_enriched_derived is computed from the very expression columns being fed in, so it recovers trivially - it is a control, not a discovery (measured trap) - and expr_cyst is one of those input columns as well."
Can the single-cell expression programme assign each gene to a cell-cycle phase?,life-cycle stage and conversion,drop,False,False,cellcycle_phase,873,cellcycle_pseudotime,False,0,0,0,the validation holdout 'cellcycle_pseudotime' is not independent of the primary 'cellcycle_phase' -- declared family (Tg_cell_cycle_timing_label). A control that is a copy controls nothing,"cellcycle_phase is derived from single-parasite RNA-seq and lives under RNA abundance, so RNA inputs restate it (criterion 3); pseudotime is the same single-cell experiment, so the control is a copy as well (criterion 4)."
"Which genes are stage-restricted, checked against how sharply stage-restricted they are?",life-cycle stage and conversion,drop,False,False,stage_enriched_derived,1911,stage_margin_derived,False,0,0,0,the validation holdout 'stage_margin_derived' is not independent of the primary 'stage_enriched_derived' -- declared family (Tg_life_cycle_stage_label_derived). A control that is a copy controls nothing,"stage_margin_derived is the margin behind the stage_enriched_derived call - the same computation twice on the same 1911 genes, so the control controls nothing (criterion 4)."
