question,axis,method,ran,stopped_because,labels_scored,mean_f1,best_f1,best_label,genes_named,corroborated,groups
"Which unplaced proteins sit in clusters that are almost entirely one hyperLOPIT compartment, judged only from how much protein there is, how it is modified and how badly it is needed?",localisation and export,umap+hdbscan,True,,10,0.20084733767647286,0.3582089552238806,proteasome,485,316,62
"Which unplaced proteins sit in clusters that are almost entirely one hyperLOPIT compartment, judged only from how much protein there is, how it is modified and how badly it is needed?",localisation and export,logistic,True,,10,0.39100776033595774,0.5903614457831325,ribosome_RNP,2809,2752,10
"Which unplaced proteins sit in clusters that are almost entirely one hyperLOPIT compartment, judged only from how much protein there is, how it is modified and how badly it is needed?",localisation and export,propagation:xlms,True,,10,0.3474338349354015,0.75,proteasome,192,82,10
"Which unplaced proteins sit in clusters that are almost entirely one hyperLOPIT compartment, judged only from how much protein there is, how it is modified and how badly it is needed?",localisation and export,propagation:struct,True,,10,0.3227265073934802,0.5714285714285714,proteasome,669,645,10
Which uncharacterised proteins behave like the exported dense-granule proteins that BioID puts at the PV membrane?,localisation and export,umap+hdbscan,False,the validation holdout 'compartment_best' is not independent of the primary 'pvm_proximity_positive' -- measured association. A control that is a copy controls nothing,0,,,,0,0,0
Which uncharacterised proteins behave like the exported dense-granule proteins that BioID puts at the PV membrane?,localisation and export,logistic,False,the validation holdout 'compartment_best' is not independent of the primary 'pvm_proximity_positive' -- measured association. A control that is a copy controls nothing,0,,,,0,0,0
Which uncharacterised proteins behave like the exported dense-granule proteins that BioID puts at the PV membrane?,localisation and export,propagation:xlms,False,the validation holdout 'compartment_best' is not independent of the primary 'pvm_proximity_positive' -- measured association. A control that is a copy controls nothing,0,,,,0,0,0
Which uncharacterised proteins behave like the exported dense-granule proteins that BioID puts at the PV membrane?,localisation and export,propagation:struct,False,the validation holdout 'compartment_best' is not independent of the primary 'pvm_proximity_positive' -- measured association. A control that is a copy controls nothing,0,,,,0,0,0
"Which unannotated genes sit with the GRA17 synthetic-lethal set, i.e. which genes are functionally coupled to the PVM nutrient pore?",localisation and export,umap+hdbscan,True,,2,0.08689974089499956,0.08720487433358719,0.0,0,0,71
"Which unannotated genes sit with the GRA17 synthetic-lethal set, i.e. which genes are functionally coupled to the PVM nutrient pore?",localisation and export,logistic,True,,2,0.8554001917872536,0.8681235870384325,0.0,0,0,2
"Which unannotated genes sit with the GRA17 synthetic-lethal set, i.e. which genes are functionally coupled to the PVM nutrient pore?",localisation and export,propagation:xlms,True,,2,0.9611789557982107,0.9754805406506827,0.0,0,0,2
"Which unannotated genes sit with the GRA17 synthetic-lethal set, i.e. which genes are functionally coupled to the PVM nutrient pore?",localisation and export,propagation:struct,True,,2,0.9476642038696765,0.9621019327326502,0.0,0,0,2
"Which uncharacterised proteins are loaded into the oocyst, and are they the genes the sexual stages switch on?",life-cycle stage and conversion,umap+hdbscan,True,,3,0.20058268597862683,0.23491027732463293,"(0.0009999999999999992, 0.94]",69,69,40
"Which uncharacterised proteins are loaded into the oocyst, and are they the genes the sexual stages switch on?",life-cycle stage and conversion,logistic,True,,3,0.4639765846770947,0.5682847896440129,"(1.74, 47.86]",0,0,3
"Which uncharacterised proteins are loaded into the oocyst, and are they the genes the sexual stages switch on?",life-cycle stage and conversion,propagation:xlms,True,,3,0.4591643486843715,0.5128436232537179,"(0.0009999999999999992, 0.94]",0,0,3
"Which uncharacterised proteins are loaded into the oocyst, and are they the genes the sexual stages switch on?",life-cycle stage and conversion,propagation:struct,True,,3,0.45412331872882417,0.48361790493770185,"(0.0009999999999999992, 0.94]",0,0,3
Which genes are needed to persist in the mouse brain at 14 days but are dispensable for growth in culture?,life-cycle stage and conversion,umap+hdbscan,True,,3,0.07346940924575542,0.08897485493230176,"(0.53, 12.19]",181,1,114
Which genes are needed to persist in the mouse brain at 14 days but are dispensable for growth in culture?,life-cycle stage and conversion,logistic,True,,3,0.7095286843811233,0.7703513281919451,"(0.53, 12.19]",473,0,3
Which genes are needed to persist in the mouse brain at 14 days but are dispensable for growth in culture?,life-cycle stage and conversion,propagation:xlms,True,,3,0.4760185703941355,0.5289507544742075,"(0.53, 12.19]",0,0,3
