number,key,name,method,family,effect,hidden,metric,min_effect,n_hidden,note,null_high,null_kind,null_mean,null_sd,observed,p_value,seconds,verdict,skill,task,scorecard
1,holdout_search,Hold out a category and search for a map that finds it (UMAP + HDBSCAN),UMAP + HDBSCAN,Search the map space,0.09333601833808401,"25% of the compartment labels, whole orthogroups at a time",F1 of hidden genes in the cluster chosen for their label on known genes,0.05,607,,0.0579550089808839,100 permutations of the hidden genes' labels over the same chosen clusters,0.039136229559073324,0.010994219177555052,0.13247224789715734,0.009900990099009901,56.9,PASS,,,
2,geneset_hunt,Find the map where your gene list is one cluster (UMAP + HDBSCAN),UMAP + HDBSCAN,Search the map space,0.027182472367767746,30% of the 'PM - integral' genes of compartment,F1 of the hidden members against the best cluster's other genes,0.05,40,,0.053636910951781525,"20 random sets of the same size, same walk",0.024430430858038706,0.015110710373717376,0.05161290322580645,0.14285714285714285,44.9,FAIL,,,
3,recoverability_atlas,Ask which categories the data can rediscover (UMAP + neighbour AUROC),UMAP + neighbour AUROC,Search the map space,0.31850360995502336,30% of the compartment labels,hidden-gene AUROC of the categories the atlas ranks in its top half,0.05,508,,0.5428799488967992,20 atlases and recoveries from shuffled labels,0.4999714264252093,0.02720347333772508,0.8184750363802327,0.047619047619047616,8.4,PASS,,,
4,consensus_modules,Keep only the modules that survive the whole walk (UMAP + HDBSCAN co-clustering),UMAP + HDBSCAN co-clustering,Search the map space,0.0018517955355818738,"25% of the compartment labels, whole orthogroups at a time",F1 of hidden genes in the module chosen for their label on known genes,0.05,305,,0.1694993742459769,100 permutations of the hidden genes' labels over the same chosen modules,0.16771496841525418,0.001099638332503088,0.16956676395083606,0.0594059405940594,0.1,FAIL,,,
5,blind_battery,"Tune a map without labels, then read what it encodes (UMAP + HDBSCAN, chi-square / Kruskal-Wallis)","UMAP + HDBSCAN, chi-square / Kruskal-Wallis",Search the map space,0.9245283018867925,"held-out features the map separates made on half the genes, checked on the other half",share of first-half findings that replicate on the second half,0.2,53,,0.18207547169811314,10 runs with the second half scrambled,0.05660377358490566,0.06644081834588306,0.9811320754716981,0.09090909090909091,1.6,PASS,,,
6,block_ablation,Find which kind of evidence carries a label (kNN ablation),kNN ablation,Search the map space,0.10590356016223518,25% of the compartment labels,hidden accuracy of the evidence ranked first (transcription),0.02,951,,0.26729758149316507,the 14 kinds of evidence chosen at random,0.2148114766411297,0.049550024543234206,0.3207150368033649,0.13333333333333333,2.2,PASS,,,
7,feature_knn,Call a gene by the genes that behave like it (kNN),kNN,Borrow from neighbours,0.279074658254469,"25% of the compartment labels, whole orthogroups at a time",correct calls per hidden gene,0.05,951,,0.06435331230283911,10 runs on shuffled labels,0.05215562565720294,0.008401675859279992,0.3312302839116719,0.09090909090909091,0.7,PASS,,,
8,map_neighbours,Call a gene by its neighbours on the map (UMAP + kNN),UMAP + kNN,Borrow from neighbours,0.1681017612524462,"25% of the compartment labels, whole orthogroups at a time",correct calls per hidden gene,0.05,511,,0.06937377690802349,20 runs on shuffled labels,0.056947162426614475,0.010223059011044209,0.22504892367906065,0.047619047619047616,0.4,PASS,,,
9,cluster_guilt,"Name a cluster by the label it is enriched for (UMAP + HDBSCAN, hypergeometric)","UMAP + HDBSCAN, hypergeometric",Borrow from neighbours,0.0962962962962963,"25% of the compartment labels, whole orthogroups at a time; 135 calls made on 511 hidden genes",precision of calls on hidden genes,0.1,135,,0.0,20 runs on shuffled labels,0.0,0.0,0.0962962962962963,0.047619047619047616,0.2,FAIL,,,
10,label_outliers,Find genes whose label their neighbours contradict (kNN + network neighbours),kNN + network neighbours,Borrow from neighbours,0.30546245594617416,"190 labels (5%) swapped to a wrong class, in proportion to class size",AUROC of surprise for the swapped labels,0.1,190,,0.5321586738706201,20 random sets of the same size,0.49612348178137655,0.017906788505117677,0.8015859377275507,0.047619047619047616,1.5,PASS,,,
